Aaron Rodgers
Josh Allen
Tom Brady
Russell Wilson
Patrick Mahomes
Ryan Tannehill
Kyler Murray
Deshaun Watson
Justin Herbert
Kirk Cousins
Ben Roethlisberger
Lamar Jackson
Derek Carr
Matt Ryan
Baker Mayfield
Drew Brees
Matthew Stafford
Jared Goff
Philip Rivers
Cam Newton
Carson Wentz
Teddy Bridgewater
Drew Lock
Gardner Minshew
Mitch Trubisky
Joe Burrow
Ryan Fitzpatrick
Andy Dalton
Tua Tagovailoa
Dak Prescott
Taysom Hill
Daniel Jones
Nick Mullens
Nick Foles
Sam Darnold
Jalen Hurts
Jimmy Garoppolo
Mike Glennon
Alex Smith
CJ Beathard
Dwayne Haskins
Joe Flacco
Brandon Allen
Kyle Allen
Chad Henne
Jacoby Brissett
Jake Luton
Jeff Driskel
Brett Rypien
Jarrett Stidham
Marcus Mariota
Mason Rudolph
Ryan Finley
Chase Daniel
Chris Streveler
Colt McCoy
Garrett Gilbert
Phillip Walker
Taylor Heinicke
Ben DiNucci
Brian Hoyer
Geno Smith
Jameis Winston
John Wolford
Joshua Dobbs
Logan Woodside
Robert Griffin III
Tim Boyle
Tyrod Taylor
